data,deputy,link,assets
2017-03-28T00:00:00,Абдуллін Олександр Рафкатович,https://declarations.com.ua/declaration/nacp_9729aad7-e939-461d-a0ba-d48c3f7e097c,14 131 455  
2017-03-28T00:00:00,Агафонова Наталія Володимирівна,https://declarations.com.ua/declaration/nacp_676bbaa6-7506-464b-94c3-561315d9a207,2 095 196  
2017-03-29T00:00:00,Алексєєв Ігор Сергійович,https://declarations.com.ua/declaration/nacp_60270ec0-18aa-4706-9cbf-e0538dddcf77,613 879  
2017-03-31T00:00:00,Алєксєєв Сергій Олегович,https://declarations.com.ua/declaration/nacp_569df8b3-e859-4ce9-af53-62e6f821b911,39 093 206  
2017-03-30T00:00:00,Амельченко Василь Васильович,https://declarations.com.ua/declaration/nacp_4a0cbdbf-1e16-48dc-a099-9366ec7f532e,9 176 063  
2017-03-22T00:00:00,Андрієвський Дмитро Йосипович,https://declarations.com.ua/declaration/nacp_897ddad0-5348-4487-94da-099dced49811,31 015 027  
2017-04-05T00:00:00,Антонищак Андрій Федорович,https://declarations.com.ua/declaration/nacp_47ea4811-9188-4461-b814-f525cb1fec09,1 684 698  
2017-03-28T00:00:00,Арешонков Володимир Юрійович,https://declarations.com.ua/declaration/nacp_39f927ad-8f25-4662-8568-5630096e7951,599 858  
2017-03-16T00:00:00,Ар'єв Володимир Ігорович,https://declarations.com.ua/declaration/nacp_cb11fbaa-6f1d-4af1-af89-d8623f91c8a1,4 945 782  
2017-03-30T00:00:00,Артеменко Андрій Вікторович,https://declarations.com.ua/declaration/nacp_76aec2b6-a90b-46aa-b946-e3562c917864,1 111 281  
2017-03-29T00:00:00,Артюшенко Ігор Андрійович,https://declarations.com.ua/declaration/nacp_77f76f7e-1e97-42e0-8e34-53eac2a73686,382 022  
2017-03-31T00:00:00,Бабак Альона Валеріївна,https://declarations.com.ua/declaration/nacp_aad28684-c761-48df-96e2-a05987c0e1d8,3 717 891  
2017-03-21T00:00:00,Бабенко Валерій Борисович,https://declarations.com.ua/declaration/nacp_22cbafca-f7d1-482d-a5b3-ef91b97198b1,3 617 479  
2017-03-06T00:00:00,Бабій Юрій Юрійович,https://declarations.com.ua/declaration/nacp_bd06c188-0b47-4d4e-8375-732c39e6f996,11 545 341  
2017-03-30T00:00:00,Бакулін Євген Миколайович,https://declarations.com.ua/declaration/nacp_4c1ba447-7e0d-466d-95ca-9b0598569917,46 726 022  
2017-03-02T00:00:00,Бакуменко Олександр Борисович,https://declarations.com.ua/declaration/nacp_7c792f2f-2b58-4d43-9312-d6a1c4b9e90c,3 237 439  
2017-03-30T00:00:00,Балицький Євген Віталійович,https://declarations.com.ua/declaration/nacp_873247f8-7498-4460-8d3a-b3ea4e97f9e5,47 165 780  
