oblast;MPs;smd;money
Чернігівська область;Олег Дмитренко;210;16 928 996 
Донецька область;Максим Єфімов;48;17 000 000 
Волинська область;Ігор Гузь;19;15 238 600 
Донецька область;Дмитро Лубінець;60;17 000 000 
Черкаська область;Олег Петренко;194;17 000 000 
Одеська область;Геннадій Чекіта;134;17 800 000 
Чернігівська область;Олександр Кодола;209;15 714 169 
Чернівецька область;Григорій Тіміш;203;16 910 000 
Харківська область;Анатолій Гіршфельд;179;18 550 200 
Черкаська область;Сергій Рудик;198;17 600 000 
Сумська область;Ігор Молоток;160;44 100 387 
Тернопільська область;Тарас Юрик;165;15 701 000 
Київська область;Павло Різаненко;97;39 871 837 
Кіровоградська область;Анатолій Кузьменко;103;18 000 000 
Полтавська область;Андрій Река;149;16 971 400 
Івано-Франківська область;Юрій Тимошенко;88;34 846 700 
Черкаська область;Антон Яценко;200;26 070 000 
Одеська область;Василь Гуляєв;140;27 021 000 
м. Київ;Олександр Третьяков;219;17 000 000 
Сумська область;Олександр Сугоняко;158;28 513 300 
Рівненська область;Олександр Дехтярчук;154;19 949 316 
Житомирська область;Володимир Литвин;65;17 560 800 
Волинська область;Степан Івахів;21;19 046 694 
Сумська область;Андрій Деркач;159;18 769 700 
Львівська область;Тарас Батенко;123;6 478 246 
Рівненська область;Василь Яніцький;155;18 737 084 
Херсонська область;Олександр Співаковський;182;16 073 000 
Івано-Франківська область;Анатолій Дирів;86;39 675 424 
Полтавська область;Юрій Бублик;145;22 607 478 
Львівська область;Олег Мусій;124;16 580 000 
м. Київ;Володимир Ар'єв;218;16 894 400 
Вінницька область;Олександр Домбровський;11;20 880 300 
Луганська область;Віталій Курило;113;17 000 000 
Чернігівська область;Валерій Давиденко;208;18 190 731 
Харківська область;Валерій Писаренко;168;68 096 400 
Чернівецька область;Микола Федорук;201;29 179 400 
Харківська область;Віктор Остапчук;177;21 321 430 
Київська область;Михайло Гаврилюк;95;16 954 200 
Хмельницька область;Віктор Бондар;191;28 247 800 
Запорізька область;Ігор Артюшенко;75;12 786 825 
м. Київ;Леонід Ємець;221;12 000 000 
Одеська область;Олександр Урбанський;143;21 726 044 
Київська область;Віктор Романюк;94;16 971 600 
Полтавська область;Юрій Шаповалов;146;17 000 000 
Хмельницька область;Роман Мацола;190;25 319 000 
Донецька область;Юрій Солод;47;12 800 000 
Одеська область;Олександр Пресман;139;10 768 500 
Полтавська область;Олег Кулініч;147;10 247 400 
Донецька область;Сергій Тарута;58;8 433 000 
Донецька область;Сергій Матвієнков;57;13 167 000 
Львівська область;Андрій Кіт;126;17 000 000 
Дніпропетровська область;Андрій Шипко;35;12 428 000 
Черкаська область;Валентин Ничипоренко;199;14 293 580 
Дніпропетровська область;Олег Кришин;34;16 960 869 
Запорізька область;Володимир Бандуров;79;16 900 000 
Херсонська область;Сергій Хлань;185;16 995 251 
Миколаївська область;Борис Козир;127;12 000 000 
Запорізька область;Микола Фролов;76;7 020 616 
Кіровоградська область;Олесь Довгий;102;29 770 000 
Харківська область;Володимир Кацуба;175;20 216 900 
Львівська область;Михайло Бондар;119;17 392 600 
Дніпропетровська область;Максим Курячий;25;5 000 000 
Миколаївська область;Аркадій Корнацький;132;14 900 000 
Івано-Франківська область;Юрій Соловей;89;21 071 400 
Харківська область;Анатолій Денисенко;173;5 000 000 
Хмельницька область;Володимир Мельниченко;193;16 999 322 
Дніпропетровська область;Олександр Дубінін;30;14 300 000 
Черкаська область;Владислав Голуб;197;17 000 000 
Закарпатська область;Роберт Горват;68;25 102 106 
Вінницька область;Петро Юрчишин;13;12 000 000 
м. Київ;Вячеслав Константіновський;220;10 000 000 
Одеська область;Антон Кіссе;142;12 545 200 
Дніпропетровська область;Костянтин Павлов;31;3 600 000 
Житомирська область;Віктор Развадовський;67;17 000 000 
Хмельницька область;Сергій Лабазюк;188;19 456 464 
Одеська область;Леонід Клімов;137;8 502 000 
Закарпатська область;Василь Петьовка;72;12 897 854 
Харківська область;Олександр Біловол;180;26 769 059 
Вінницька область;Іван Мельничук;14;17 317 700 
Черкаська область;Володимир Зубик;195;5 148 000 
Вінницька область;Микола Кучер;17;18 919 651 
Херсонська область;Федір Негой;186;17 350 000 
Сумська область;Олег Медуниця;157;19 391 300 
Чернігівська область;Сергій Березенко;205;18 016 000 
Миколаївська область;Андрій Вадатурський;130;18 396 700 
Вінницька область;Руслан Демчак;18;18 577 100 
Миколаївська область;Олександр Лівік;131;15 500 000 
Київська область;Сергій Міщенко;98;16 992 609 
Кіровоградська область;Станіслав Березкін;100;9 220 500 
