oblast;title;amount;smd;type;
Львівська область;капітальний ремонт приміщення загальноосвітньої школи I-II ступеня, с. Горбків;0;124;Навчальний заклад;
Миколаївська область;Новосевастопольська загальноосвітня школа I-III ступеня по вул. Центральній, 2, с. Новосевастополь Березнегуватського району, заміна вікон;3400;130;Навчальний заклад;
Житомирська область;Придбання пічного обладнання (булер’ян) для ФАПу в с. Мокляки;4000;65;Медичний заклад;
Житомирська область;Придбання обладнання для клубу с. Велика Глумча;4500;65;Заклади культури;1
Сумська область;Капітальний ремонт, заміна вхідних дверей в приміщенні Гречкинської сільської ради по вул. Центральній, 37, с. Гречкіне Кролевецького району;5000;160;Жкг;
Черкаська область;Капітальний ремонт по заміні вікон у приміщенні фельдшерсько-акушерського пункту, Лубенська сільська рада Кам’янського району;5000;198;Медичний заклад;
Житомирська область;Придбання комплекту парт для Осівської ЗОШ;7000;65;Навчальний заклад;
Житомирська область;Придбання ноутбука для будинку культури, с. Сербо-Слобідка;7000;65;Заклади культури;
Житомирська область;Придбання обладнання для клубу в с. Осівка;8000;65;Заклади культури;
Чернігівська область;Придбання ноутбука для Подищанської ЗОШ I-II ст. Прилуцького району Чернігівської області;8000;210;Навчальний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерсько-акушерського пункту в с. Хажин, вул. Садиба, 2а Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерсько-акушерського пункту в с. Іванківці, вул. Героїв Небесної Сотні, 16 А Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для Великонизгірецького фельдшерсько-акушерського пункту в с. Великі Низгірці, вул. Центральна, 10 Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерського пункту в с. Дубівка, вул. Сікорського, 21 Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерського пункту в с.Терехове, вул. Шевченка, 3 Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерського пункту в с. Кикишівка, вул. Стадіонна, 11 Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерського пункту в с. Сингаївка, вул. Корольова, 10-А Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Житомирська область;Капітальне придбання медичного обладнання для фельдшерського пункту в с. Красівка, вул. Миру, 16 Бердичівського району, Житомирської області;8454;63;Медичний заклад;
Чернігівська область;Придбання проектора для Рудівської ЗОШ I-II ст. Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Білорічицького ДНЗ № 1 Прилуцького району Чернігівської області;9000;210;Навчальний заклад;1
Чернігівська область;Придбання апарату для приготування кисневих пінок для Білорічицького ДНЗ № 2 Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Білошапківського ДНЗ “Малятко” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Валківського ДНЗ “Сонечко” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Великодівицького ДНЗ “Сонечко” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Голубівського ДНЗ “Капітошка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Замістянського ДНЗ “Барвінок” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Знам’янського ДНЗ “Берізка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Івківського ДНЗ “Малятко” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Канівщинського ДНЗ “Веселка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Краслянського ДНЗ “Ромашка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Обичівського ДНЗ “Капітошка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Охіньківського ДНЗ “Сонечко” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Рудівського ДНЗ “Волошка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Сергіївського ДНЗ “Казка” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Товкачівського ДНЗ “Барвінок” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок для Удайцівського ДНЗ “Пролісок” Прилуцького району Чернігівської області;9000;210;Навчальний заклад;
Львівська область;заміна віконних блоків у Народному домі, с. Бояничі;9517;124;заклади культури;
Житомирська область;Заміна вікон у Великобраталівському сільському клубі по вул. Центральній, 2, с. Великий Браталів Любарського району;10000;67;Заклади культури;
Житомирська область;Заміна вікон в Кириївській загальноосвітній школі I-III ступеня по вул. Шевченка, 26, с. Кириївка Любарського району;10000;67;Навчальний заклад;
Житомирська область;Заміна вікон в Веселківській загальноосвітній школі I-II ступеня по вул. Молодіжній, 1, с. Веселка Любарського району;10000;67;Навчальний заклад;
Житомирська область;Придбання музичного центру для Симонівської ЗОШ;10000;65;Навчальний заклад;
Волинська область;Придбання меблів для ДНЗ “Струмочок” по вул. Миру, 21 с. Рудня Старовижівського району Волинської області;10000;21;Навчальний заклад;
Полтавська область;Полтавська загальноосвітня школа I-III ступенів № 25 Полтавської міської ради Полтавської області, закупівля ноутбука;10000;145;Навчальний заклад;
Чернівецька область;Придбання комп’ютерної техніки для Слобода-Банилівського навчально-виховного комплексу (ЗНЗ I-II ст. - дошкільний заклад), с. Слобода-Банилів Вижницького району;10000;202;Навчальний заклад;
Одеська область;Капітальний ремонт по заміні вікон у дитячо-юнацькій спортивній школі по вул. Гагаріна, 15, м. Рені;10000;143;навчальний заклад;
Одеська область;Капітальний ремонт у житловому будинку по вул. Центральна, 115, с. Прилиманське Овідіопольський район Одеська область (встановлення енергозберігаючих металопластикових вікон);10000;140;ЖКГ;
Миколаївська область;Червонопільська загальноосвітня школа I ступеня, с. Червонопілля Березнегуватського району, заміна вікон;10200;130;Навчальний заклад;
Одеська область;Капітальний ремонт у житловому будинку по вул. Центральна, 117, с. Прилиманське Овідіопольський район Одеська область (встановлення енергозберігаючих металопластикових вікон);10600;140;ЖКГ;
Житомирська область;Придбання електроплити для Яблунівської ЗОШ;11000;65;Навчальний заклад;
Житомирська область;Придбання електроплити, мультимедійного проектора для Сербо-Слобідської ЗОШ;11000;65;Навчальний заклад;
Сумська область;Придбання м’якого інвентарю для Центральної районної лікарні, смт Липова Долина, вул. Лікарняна, 3;11000;161;Медичний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Дідівського ДНЗ “Барвінок” Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Ладанського ДНЗ “Барвінок” Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Ладанського ДНЗ “Червона шапочка” Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Линовицького ДНЗ “Веселка”;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Линовицького ДНЗ № 2 Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Малодівицького ДНЗ “Ромашка” Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Сухополов’янського ДНЗ “Радість” Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Чернігівська область;Придбання апарату для приготування кисневих пінок та інгалятора для Яблунівського ДНЗ “Веселка” Прилуцького району Чернігівської області;11000;210;Навчальний заклад;
Житомирська область;Придбання ноутбука та комплекту стільців для будинку культури, с. Симони;11200;65;Заклади культури;
Полтавська область;Судіївська загальноосвітня школа I-II ступенів Полтавської районної ради Полтавської області, заміна вікон;11423;145;Навчальний заклад;
Сумська область;Капітальний ремонт, проведення заходів з енергозбереження будівлі Гречкинського навчально-виховного комплексу по вул. Центральній, 40, с. Гречкіне Кролевецького району;12000;160;Навчальний заклад;
Сумська область;Придбання предметів довгострокового користування - спортивного обладнання для дитячо-юнацької спортивної школи відділу освіти, м. Ромни, вул. Соборна, 41;12000;161;Навчальний заклад;
Сумська область;Придбання автошин для Центральної районної лікарні, смт Липова Долина, вул. Лікарняна, 3;12000;161;Медичний заклад;
Чернігівська область;Придбання комп’ютера для Малківської ЗОШ I-III ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Чернігівська область;Придбання мультимедійного комплексу (проектор та ноутбук) Великодівицької ЗОШ I-II ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Чернігівська область;Придбання комп’ютера для Голубівської ЗОШ I-II ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Чернігівська область;Придбання комп’ютера для Жовтневої ЗОШ I-II ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Чернігівська область;Придбання комп’ютера для Заїздської ЗОШ I-II ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Чернігівська область;Придбання комп’ютера для Канівщинської ЗОШ I-II ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Чернігівська область;Придбання комп’ютера для Обичівської ЗОШ I-II ст. Прилуцького району Чернігівської області;12000;210;Навчальний заклад;
Львівська область;капітальний ремонт приміщення Народного дому, с. Поториця;12000;124;Заклади культури;
Житомирська область;Придбання електроплити для Великояблунецької ЗОШ;12700;65;Навчальний заклад;
Житомирська область;Придбання принтера, електроплити для Непізнаницької ЗОШ;12700;65;Навчальний заклад;
Полтавська область;Заміна дверей, Черкасівський сільський будинок культури Полтавський район;12860;145;Заклади культури;
Житомирська область;Придбання комплекту музичної апаратури та комплекту стільців для клубу с. Бобриця;13000;65;Заклади культури;
Житомирська область;Придбання телевізора для Малоглумчанської ЗОШ;13000;65;Навчальний заклад;
Житомирська область;Придбання комплекту підсилювач з колонками, мікрофонами та стійками для Тайківської ЗОШ;13000;65;Навчальний заклад;
Житомирська область;Придбання комплекту меблів для класу для Яблунецької ЗОШ (10 парт, 20 стільців, стіл для вчителя, стілець для вчителя);13000;65;Навчальний заклад;
Одеська область;Капітальний ремонт у житловому будинку по вул. Центральна, 103, с. Прилиманське Овідіопольський район Одеська область (встановлення енергозберігаючих металопластикових вікон);13200;140;ЖКГ;
Сумська область;Придбання агрегата водяного електронасосного центробіжного (для скважин) для Центральної районної лікарні, смт Липова Долина, вул. Лікарняна, 3;13500;161;Медичний заклад;
Полтавська область;Полтавський дошкільний навчальний заклад (ясла-садок) № 7 “Теремок”, закупівля двокамерного холодильника;13700;145;Навчальний заклад;1
Полтавська область;Полтавський дошкільний навчальний заклад (ясла-садок) № 55 “Незабудка”, закупівля електром’ясорубки;14000;145;Навчальний заклад;1
Львівська область;капітальний ремонт приміщення Народного дому, с. Велике;14000;124;Заклади культури;
Полтавська область;Полтавський спеціалізований навчально-виховний комплекс № 26 “Перші кроки” Полтавської міської ради, закупівля телевізора не менше 43 дюйми;14300;144;Навчальний заклад;
Житомирська область;Капітальний ремонт будівлі Піщаницького дошкільного навчального закладу, із заміною дерев’яних віконних блоків на металопластикові, с. Піщаниця Овруцького району;14800;64;Навчальний заклад;
Полтавська область;Нестеренківська загальноосвітня школа I ступеню Полтавський район, Полтавська область, заміна вікон;14888;145;Навчальний заклад;
Полтавська область;Дошкільний навчальний заклад (ясла-садок) № 13 “Сонечко”, м. Полтава, закупівля шестиконфоркової електроплити з духовою шафою;14900;145;Навчальний заклад;
Житомирська область;Заміна вікон в Борушківецькому навчально-виховному комплексі по вул. Михайлівській, 82, с. Борушківці Любарського району;15000;67;Навчальний заклад;
Житомирська область;Заміна вікон та дверей в Горопаївському сільському клубі по вул. Центральній, 40а, с. Горопаї Любарського району;15000;67;Заклади культури;
