"oblast","MPs","smd","sum","count","year"
"Вінницька область","Олександр Домбровський",11,20.9,25,2016
"Вінницька область","Олексій Порошенко",12,12.8,11,2016
"Вінницька область","Петро Юрчишин",13,12,17,2016
"Вінницька область","Іван Мельничук",14,17.3,19,2016
"Вінницька область","Іван Спориш",15,17,7,2016
"Вінницька область","Юрій Македон",16,17,47,2016
"Вінницька область","Микола Кучер",17,18.9,61,2016
"Вінницька область","Руслан Демчак",18,18.6,27,2016
"Волинська область","Ігор Гузь",19,15.2,127,2016
"Волинська область","Сергій Мартиняк",20,17,24,2016
"Волинська область","Степан Івахів",21,19,22,2016
"Волинська область","Ігор Лапін",22,17,2,2016
"Волинська область","Ірина Констанкевич",23,6.6,8,2016
"Дніпропетровська область","Максим Курячий",25,5,5,2016
"Дніпропетровська область","Тетяна Ричкова",27,5,1,2016
"Дніпропетровська область","Віталій Купрій",29,0.5,1,2016
"Дніпропетровська область","Олександр Дубінін",30,14.3,11,2016
"Дніпропетровська область","Костянтин Павлов",31,3.6,6,2016
"Дніпропетровська область","Костянтин Усов",33,16.9,18,2016
"Дніпропетровська область","Олег Кришин",34,17,21,2016
"Дніпропетровська область","Андрій Шипко",35,12.4,4,2016
"Дніпропетровська область","Дмитро Шпенов",37,1.3,3,2016
"Дніпропетровська область","Вадим Нестеренко",38,18.1,10,2016
"Дніпропетровська область","Валентин Дідич",40,3.4,4,2016
"Донецька область","Юрій Солод",47,12.8,8,2016
"Донецька область","Максим Єфімов",48,17,10,2016
"Донецька область","Денис Омельянович",49,3,1,2016
"Донецька область","Євгеній Гєллєр",50,34.5,35,2016
"Донецька область","Ігор Шкіря",52,10,9,2016
"Донецька область","Сергій Матвієнков",57,13.2,7,2016
"Донецька область","Сергій Тарута",58,8.4,3,2016
"Донецька область","Сергій Сажко",59,1.2,3,2016
"Донецька область","Дмитро Лубінець",60,17,25,2016
"Житомирська область","Борислав Розенблат",62,16.1,13,2016
"Житомирська область","Олександр Ревега",63,9.4,70,2016
"Житомирська область","Володимир Арешонков",64,12,54,2016
"Житомирська область","Володимир Литвин",65,17.6,137,2016
"Житомирська область","Павло Дзюблик",66,17,43,2016
"Житомирська область","Віктор Развадовський",67,17,61,2016
"Закарпатська область","Роберт Горват",68,25.1,24,2016
"Закарпатська область","Михайло Ланьо",70,7.5,7,2016
"Закарпатська область","Павло Балога",71,24.5,4,2016
"Закарпатська область","Василь Петьовка",72,12.9,17,2016
"Запорізька область","Петро Сабашук",74,21.2,11,2016
"Запорізька область","Ігор Артюшенко",75,12.8,3,2016
"Запорізька область","Микола Фролов",76,7,5,2016
"Запорізька область","Вячеслав Богуслаєв",77,17,5,2016
"Запорізька область","Володимир Бандуров",79,16.9,49,2016
"Запорізька область","Євген Балицький",80,3.8,1,2016
"Запорізька область","Сергій Валентиров",81,10.3,10,2016
"Запорізька область","Вадим Кривохатько",82,15,2,2016
"Івано-Франківська область","Олександр Шевченко",83,37.6,12,2016
"Івано-Франківська область","Михайло Довбенко",84,17,8,2016
"Івано-Франківська область","Віктор Шевченко",85,7.1,10,2016
"Івано-Франківська область","Анатолій Дирів",86,39.7,43,2016
"Івано-Франківська область","Юрій Дерев'янко",87,11.3,5,2016
"Івано-Франківська область","Юрій Тимошенко",88,34.8,39,2016
"Івано-Франківська область","Юрій Соловей",89,21.1,24,2016
"Київська область","Руслан Сольвар",91,26.5,17,2016
"Київська область","Олександр Онищенко",93,12,10,2016
"Київська область","Віктор Романюк",94,17,7,2016
"Київська область","Михайло Гаврилюк",95,17,7,2016
"Київська область","Ярослав Москаленко",96,4.1,4,2016
"Київська область","Павло Різаненко",97,39.9,19,2016
"Київська область","Сергій Міщенко",98,17,12,2016
"Кіровоградська область","Костянтин Яриніч",99,34.1,11,2016
"Кіровоградська область","Станіслав Березкін",100,9.2,9,2016
"Кіровоградська область","Олесь Довгий",102,29.8,38,2016
"Кіровоградська область","Анатолій Кузьменко",103,18,13,2016
"Луганська область","Віталій Курило",113,17,36,2016
"Львівська область","Ірина Подоляк",116,5.5,2,2016
"Львівська область","Богдан Дубневич",118,5,5,2016
"Львівська область","Михайло Бондар",119,17.4,18,2016
"Львівська область","Ярослав Дубневич",120,16.2,36,2016
"Львівська область","Богдан Матківський",121,12,2,2016
"Львівська область","Тарас Батенко",123,6.5,18,2016
"Львівська область","Олег Мусій",124,16.6,88,2016
"Львівська область","Андрій Лопушанський",125,15.8,7,2016
"Львівська область","Андрій Кіт",126,17,12,2016
"Миколаївська область","Борис Козир",127,12,4,2016
"Миколаївська область","Артем Ільюк",128,11.2,5,2016
"Миколаївська область","Андрій Вадатурський",130,18.4,126,2016
"Миколаївська область","Олександр Лівік",131,15.5,8,2016
"Миколаївська область","Аркадій Корнацький",132,14.9,9,2016
"Одеська область","Едуард Матвійчук",133,3,1,2016
"Одеська область","Геннадій Чекіта",134,17.8,91,2016
"Одеська область","Дмитро Голубов",136,14,5,2016
"Одеська область","Леонід Клімов",137,8.5,10,2016
