oblast,MPs,smd,sum,count,year
Вінницька область,Олександр Домбровський,11,43.6,48,2017
Вінницька область,Олексій Порошенко,12,32.7,18,2017
Вінницька область,Петро Юрчишин,13,27.2,383,2017
Вінницька область,Іван Мельничук,14,38.3,54,2017
Вінницька область,Юрій Македон,16,9.5,54,2017
Вінницька область,Микола Кучер,17,34.4,117,2017
Вінницька область,Руслан Демчак,18,37.4,132,2017
Волинська область,Ігор Гузь,19,25.6,198,2017
Волинська область,Сергій Мартиняк,20,24.4,30,2017
Волинська область,Степан Івахів,21,30.5,104,2017
Волинська область,Ігор Лапін,22,85.3,22,2017
Волинська область,Ірина Констанкевич,23,27.7,135,2017
Дніпропетровська область,Яків Безбах,24,11.6,15,2017
Дніпропетровська область,Максим Курячий,25,0.2,1,2017
Дніпропетровська область,Тетяна Ричкова,27,19.7,11,2017
Дніпропетровська область,Віталій Купрій,29,15.6,6,2017
Дніпропетровська область,Олександр Дубінін,30,25.7,102,2017
Дніпропетровська область,Костянтин Усов,33,21.5,15,2017
Дніпропетровська область,Олег Кришин,34,24.7,43,2017
Дніпропетровська область,Андрій Шипко,35,28.9,32,2017
Дніпропетровська область,Дмитро Шпенов,37,9.5,11,2017
Дніпропетровська область,Вадим Нестеренко,38,16.5,4,2017
Дніпропетровська область,Валентин Дідич,40,19.6,136,2017
Донецька область,Юхим Звягільський,45,9.8,8,2017
Донецька область,Юрій Солод,47,25,10,2017
Донецька область,Максим Єфімов,48,25,38,2017
Донецька область,Денис Омельянович,49,5,6,2017
Донецька область,Євгеній Гєллєр,50,30,112,2017
Донецька область,Ігор Шкіря,52,24.6,128,2017
Донецька область,Сергій Матвієнков,57,24,5,2017
Донецька область,Сергій Тарута,58,14.1,5,2017
Донецька область,Сергій Сажко,59,5,1,2017
Донецька область,Дмитро Лубінець,60,12.4,37,2017
Житомирська область,Борислав Розенблат,62,6.2,3,2017
Житомирська область,Олександр Ревега,63,31.5,180,2017
Житомирська область,Володимир Арешонков,64,16.9,57,2017
Житомирська область,Володимир Литвин,65,22.4,400,2017
Житомирська область,Павло Дзюблик,66,35.9,159,2017
Житомирська область,Віктор Развадовський,67,29.6,107,2017
Закарпатська область,Роберт Горват,68,19.5,20,2017
Закарпатська область,Віктор Балога,69,2.9,12,2017
Закарпатська область,Михайло Ланьо,70,37.4,63,2017
Закарпатська область,Павло Балога,71,27.4,7,2017
Закарпатська область,Василь Петьовка,72,22.7,50,2017
Запорізька область,Петро Сабашук,74,24,17,2017
Запорізька область,Вячеслав Богуслаєв,77,16.9,6,2017
Запорізька область,Володимир Бандуров,79,28,83,2017
Запорізька область,Євген Балицький,80,20,8,2017
Запорізька область,Сергій Валентиров,81,35.1,11,2017
Запорізька область,Вадим Кривохатько,82,29.2,27,2017
Івано-Франківська область,Олександр Шевченко,83,84.6,80,2017
Івано-Франківська область,Михайло Довбенко,84,42.3,116,2017
Івано-Франківська область,Віктор Шевченко,85,25.3,61,2017
Івано-Франківська область,Анатолій Дирів,86,45.6,107,2017
Івано-Франківська область,Юрій Дерев'янко,87,18.5,27,2017
Івано-Франківська область,Юрій Тимошенко,88,67.3,103,2017
Івано-Франківська область,Юрій Соловей,89,28.5,73,2017
Київська область,Руслан Сольвар,91,70.8,177,2017
Київська область,Віталій Гудзенко,92,33.9,117,2017
Київська область,Олександр Онищенко,93,6.4,6,2017
Київська область,Віктор Романюк,94,52.5,116,2017
Київська область,Михайло Гаврилюк,95,36.6,29,2017
Київська область,Ярослав Москаленко,96,25.9,9,2017
Київська область,Павло Різаненко,97,26.2,98,2017
Київська область,Сергій Міщенко,98,21.1,23,2017
Кіровоградська область,Костянтин Яриніч,99,87.2,43,2017
Кіровоградська область,Станіслав Березкін,100,34.2,52,2017
Кіровоградська область,Михайло Поплавський,101,8.7,18,2017
Кіровоградська область,Олесь Довгий,102,35.7,104,2017
Кіровоградська область,Анатолій Кузьменко,103,22.1,15,2017
Луганська область,Віталій Курило,113,25.7,78,2017
Луганська область,Сергій Шахов,114,24.8,23,2017
Львівська область,Дмитро Добродомов,115,21.2,18,2017
Львівська область,Ірина Подоляк,116,1.1,3,2017
Львівська область,Оксана Юринець,117,1.1,8,2017
Львівська область,Богдан Дубневич,118,11.7,30,2017
Львівська область,Михайло Бондар,119,37.2,124,2017
Львівська область,Ярослав Дубневич,120,28.3,31,2017
Львівська область,Богдан Матківський,121,10.1,2,2017
Львівська область,Тарас Батенко,123,41.3,468,2017
Львівська область,Олег Мусій,124,9.2,79,2017
Львівська область,Андрій Лопушанський,125,27.8,160,2017
Львівська область,Андрій Кіт,126,26.3,18,2017
Миколаївська область,Борис Козир,127,23.6,46,2017
Миколаївська область,Артем Ільюк,128,16.6,87,2017
Миколаївська область,Олександр Жолобецький,129,28.9,129,2017
