"oblast","title","amount","bill","smd"
"Вінницька область","Придбання зварювального високочастотного електрокоагулятора ЕКВЗ-300 ПАТОНМЕД, хірургічного інструментарію для операційного блоку хірургічного відділення комунальної установи “Хмільницька центральна районна лікарня” (м. Хмільник, вул. Кірова, 71)",130000,861,13
"Вінницька область","Придбання 12-тиканального апарату для проведення Холтер-ЕКГ, апарату для добового моніторингу артеріального тиску для терапевтичного відділення з кардіологічними ліжками комунальної установи “Хмільницька центральна районна лікарня” (м. Хмільник, вул. Кірова, 71)",80000,861,13
"Вінницька область","Придбання лампи операційної пересувної 4-ох рефлекторної, медичних штативів для внутрішньо-венних інфузій для акушерсько-гінекологічного відділення комунальної установи “Хмільницька центральна районна лікарня” (м. Хмільник, вул. Кірова, 71)",20000,861,13
"Вінницька область","Придбання м’ягкого інвентаря для педіатричного відділення комунальної установи “Хмільницька центральна районна лікарня” (м. Хмільник, вул. Кірова, 71)",30000,861,13
"Вінницька область","Придбання комплекту меблів, комп’ютерного обладнання, фотоапарату для районної комунальної позашкільної навчальної установи “Центр дитячої та юнацької творчості” вул. Соборна, 51, с. Уланів Хмільницького району Вінницької області ",25000,861,13
"Вінницька область","Придбання комплекту меблів, комп’ютерного обладнання для районної комунальної позашкільної навчальної установи “Станція юннатів” вул. Соборна, 34, с. Уланів Хмільницького району Вінницької області ",20000,861,13
"Вінницька область","Придбання спортивної форми та інвентаря для комунальної установи “Хмільницька районна дитячо-юнацька спортивна школа” вул. Миру, 7, с. Уланів, Хмільницького району Вінницької області ",60000,861,13
"Вінницька область","Придбання комплекту меблів для комунальної установи “Уланівська дитяча музична школа” вул. Соборна, 69, с. Уланів, Хмільницького району Вінницької області ",25000,861,13
"Вінницька область"," Придбання комплекту меблів, комп’ютерного обладнання та побутової техніки для дошкільного навчального закладу с. Уланів, вул. Миру, 19, Хмільницького району Вінницької області ",50000,861,13
"Вінницька область","Придбання комплекту меблів, для дошкільного навчального закладу с. Кустівці, Хмільницького району Вінницької області",15000,861,13
"Вінницька область","Придбання комплекту меблів для навчально-виховного комплексу “Загальноосвітня школа I—III ступенів —дошкільний навчальний заклад” с. Березна, Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Великий Митник, Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Зозулинці Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Кустівці Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Кропивна Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Лип’ятин Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Лозна Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Мар’янівка Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Маркуші Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для загальноосвітньої школи I—III ступенів с. Порик Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для навчально-виховного комплексу “Загальноосвітня школа I—III ступенів —дошкільний навчальний заклад” с. Сальниця Хмільницького району Вінницької області",20000,861,13
"Вінницька область","Придбання комплекту меблів для навчально-виховного комплексу “Загальноосвітня школа I—III ступенів —дошкільний навчальний заклад” с. Сьомаки Хмільницького району Вінницької області",20000,861,13
