"mp_name","amount","count","mean","party","oblast","smd"
"Іван Мельничук",12.48,30,0.42,"Блок Петра Порошенка","Вінницька область",14
"Микола Кучер",16.49,129,0.13,"Блок Петра Порошенка","Вінницька область",17
"Олександр Домбровський",173.44,43,4.03,"Блок Петра Порошенка","Вінницька область",11
"Олексій Порошенко",57.8,10,5.78,"Блок Петра Порошенка","Вінницька область",12
"Петро Юрчишин",35.07,400,0.09,"Блок Петра Порошенка","Вінницька область",13
"Руслан Демчак",20.79,68,0.31,"Блок Петра Порошенка","Вінницька область",18
"Юрій Македон",10.77,15,0.72,"Блок Петра Порошенка","Вінницька область",16
"Ігор Гузь",27.85,299,0.09,"Народний фронт","Волинська область",19
"Ігор Лапін",24.15,12,2.01,"Народний фронт","Волинська область",22
"Ірина Констанкевич",11.23,46,0.24,"Позафракційні","Волинська область",23
"Сергій Мартиняк",24.34,69,0.35,"група ""Воля народу""","Волинська область",20
"Степан Івахів",26.97,81,0.33,"група ""Воля народу""","Волинська область",21
"Андрій Гальченко",0.1,4,0.02,"Опозиційний блок","Дніпропетровська область",32
"Андрій Денисенко",2.48,70,0.04,"Позафракційні","Дніпропетровська область",26
"Андрій Шипко",21.5,12,1.79,"група ""Відродження""","Дніпропетровська область",35
"Артур Мартовицький",1.74,4,0.44,"Опозиційний блок","Дніпропетровська область",36
"Вадим Нестеренко",3.15,7,0.45,"Блок Петра Порошенка","Дніпропетровська область",38
"Валентин Дідич",6.98,62,0.11,"Позафракційні","Дніпропетровська область",40
"Віталій Купрій",22.02,10,2.2,"Позафракційні","Дніпропетровська область",29
"Дмитро Шпенов",1.19,2,0.6,"Опозиційний блок","Дніпропетровська область",37
"Іван Куліченко",1.3,1,1.3,"Блок Петра Порошенка","Дніпропетровська область",28
"Костянтин Павлов",0.13,4,0.03,"Опозиційний блок","Дніпропетровська область",31
"Костянтин Усов",8.59,11,0.78,"Блок Петра Порошенка","Дніпропетровська область",33
"Максим Курячий",2.66,3,0.89,"Блок Петра Порошенка","Дніпропетровська область",25
"Олег Кришин",33.01,65,0.51,"Народний фронт","Дніпропетровська область",34
"Олександр Дубінін",6.82,41,0.17,"Позафракційні","Дніпропетровська область",30
"Тетяна Ричкова",3.76,2,1.88,"Блок Петра Порошенка","Дніпропетровська область",27
"Яків Безбах",2.93,4,0.73,"Позафракційні","Дніпропетровська область",24
"Дмитро Лубінець",5,17,0.29,"Блок Петра Порошенка","Донецька область",60
"Євгеній Гєллєр",25,36,0.69,"група ""Відродження""","Донецька область",50
"Максим Єфімов",11.93,18,0.66,"Блок Петра Порошенка","Донецька область",48
"Сергій Клюєв",11.2,12,0.93,"Позафракційні","Донецька область",46
"Сергій Матвієнков",34.19,5,6.84,"Опозиційний блок","Донецька область",57
"Сергій Тарута",49.62,10,4.96,"Позафракційні","Донецька область",58
"Юрій Солод",12.09,22,0.55,"Опозиційний блок","Донецька область",47
"Юхим Звягільський",29.95,7,4.28,"Опозиційний блок","Донецька область",45
"Борислав Розенблат",19.37,11,1.76,"Позафракційні","Житомирська область",62
"Віктор Развадовський",24.98,40,0.62,"група ""Відродження""","Житомирська область",67
"Володимир Арешонков",14.6,98,0.15,"Блок Петра Порошенка","Житомирська область",64
"Володимир Литвин",10.43,262,0.04,"Позафракційні","Житомирська область",65
"Олександр Ревега",14.06,111,0.13,"Блок Петра Порошенка","Житомирська область",63
"Павло Дзюблик",30.55,308,0.1,"Народний фронт","Житомирська область",66
"Василь Петьовка",27.67,54,0.51,"група ""Воля народу""","Закарпатська область",72
"Віктор Балога",12.83,10,1.28,"Позафракційні","Закарпатська область",69
"Іван Балога",21.5,45,0.48,"Позафракційні","Закарпатська область",73
"Михайло Ланьо",20.44,24,0.85,"група ""Відродження""","Закарпатська область",70
"Павло Балога",91.8,57,1.61,"Позафракційні","Закарпатська область",71
"Роберт Горват",32.87,16,2.05,"Блок Петра Порошенка","Закарпатська область",68
"Вадим Кривохатько",5.25,5,1.05,"Позафракційні","Запорізька область",82
"Володимир Бандуров",20,31,0.65,"група ""Воля народу""","Запорізька область",79
"Вячеслав Богуслаєв",20,8,2.5,"група ""Воля народу""","Запорізька область",77
