oblast,title,amount,bill,smd
Вінницька область,Придбання меблів для Новофастівського дитячого навчального закладу в с. Новофастів Погребищенського району Вінницької області,3000,934,18
Вінницька область,"Придбання промислової електром'ясорубки для дитячого навчального закладу ""Веселка"", с. Кордишівка Козятинського району",4000,934,13
Вінницька область,"Придбання автоматики на альтернативний твердопаливний котел для Козятинського загальноосвітнього навчально-виховного комплексу I - III ступенів ""Школа-дитячий садок"" N 9, с. Козятин Козятинського району",4000,934,13
Вінницька область,"Придбання музичного обладнання для Погребищенської дитячої музичної школи по вул. Т. Шевченка, 108 А, м. Погребище Вінницької області",5000,934,18
Вінницька область,Проведення заходів з енергозбереження міської мультимедійної бібліотеки Іллінецької міської ОТГ (придбання дверних та віконних блоків),6000,934,18
Вінницька область,"Придбання телевізора для дошкільного відділення загальноосвітнього навчально-виховного комплексу I - III ступенів ""школа-дитячий садок"" N 6 Козятинської міської ради Вінницької області, смт Залізничне м. Козятина",6000,934,13
Вінницька область,Придбання спортивного інвентаря та обладнання довгострокового користування для Ободівської ДЮСШ в с. Ободівка Тростянецького району Вінницької області,8000,934,17
Вінницька область,"Придбання апаратів УВЧ-терапії, Кварц, гематологічного аналізатора, аналізатора сечі для амбулаторії загальної практики-сімейної медицини комунального підприємства ""Козятинський районний медичний центр первинної медико-санітарної допомоги"", с. Кордишівка Козятинського району",8000,934,13
Вінницька область,Придбання інтерактивного комплексу для Жорнищенської загальноосвітньої школи I - III ступенів Іллінецької міської ради Вінницької області,9000,934,18
Вінницька область,Придбання інтерактивного комплексу для Іллінецької загальноосвітньої школи I - III ступенів N 1 Іллінецької міської ради Вінницької області,9000,934,18
Вінницька область,"Придбання інтерактивного комплексу для Купчинецької філії Дашівської загальноосвітньої школи I - III ступенів Дашівської селищної ради Іллінецького району Вінницької області, с. Купчинці, вул. Шевченка, 3",9000,934,18
Вінницька область,Придбання інтерактивного комплексу у Городоцьку загальноосвітню школу I - III ступенів Іллінецької районної ради Вінницької області,9000,934,18
Вінницька область,Придбання інтерактивного комплексу у Китайгородську загальноосвітню школу I - III ступенів Іллінецької районної ради Вінницької області,9000,934,18
Вінницька область,Придбання інтерактивного комплексу у Бабинську загальноосвітню школу I - III ступенів Іллінецької районної ради Вінницької області,9000,934,18
Вінницька область,"Придбання телевізора та принтера для комунального навчального закладу ""Загальноосвітня школа I - III ступенів N 2 Козятинської міської ради Вінницької області"", м. Козятин",9000,934,13
Вінницька область,"Придбання телевізора та принтера для комунального навчального закладу ""Загальноосвітня школа I - III ступенів N 3 Козятинської міської ради Вінницької області"", м. Козятин",9000,934,13
